homelat,homelon,homecontinent,n
-0.9,100.4,Asia,4
-0.9,119.9,Asia,3
-0.8,113.9,Asia,110
-0.6,101.3,Asia,87
-0.5,-80.5,NA,2
-0.5,117.1,Asia,2
-0.3,103.2,Asia,1
-0.3,111.5,Asia,1
0.5,102.7,Asia,37
0.5,116.4,Asia,4
0.6,97.8,Asia,4
0.6,124,Asia,1
1,104,Asia,1
1,114.6,Asia,2
1.1,97.5,Asia,1
1.1,104,Asia,1
1.1,120.8,Asia,1
1.3,103.7,Asia,1
1.3,103.8,Asia,14
1.3,103.9,Asia,6
1.4,103.8,Asia,98
1.4,103.9,Asia,10
1.5,103.7,Asia,3
1.5,103.8,Asia,5
1.5,124.8,Asia,3
1.6,110.4,Asia,2
2,45.3,Africa,1
2.1,99.5,Asia,1
2.1,103.4,Asia,1
2.6,102,Asia,1
2.8,95.9,Asia,4
3,99.1,Asia,1
3,101.7,Asia,9
3.1,101.5,Asia,5
3.1,101.6,Asia,16
3.1,101.7,Asia,27
3.1,101.8,Asia,1
3.2,101.5,Asia,1
3.2,101.7,Asia,3
3.3,101.7,Asia,2
3.4,98.7,Asia,1
3.6,98.7,Asia,6
3.6,101.7,Asia,28
3.8,103.2,Asia,2
3.8,103.3,Asia,3
4.2,73.5,Asia,8
4.2,102,Asia,40
4.5,114.7,Asia,6
4.6,114.3,Asia,1
4.7,96.7,Asia,7
5.1,100.5,Asia,1
5.2,97.1,Asia,1
5.3,103.1,Asia,3
5.5,102.2,Asia,4
6,80.4,Asia,8
6,102.1,Asia,1
6.1,80.2,Asia,33
6.1,100.4,Asia,1
6.1,125.2,Asia,3
6.5,101.5,Asia,1
6.9,79.9,Asia,19
6.9,81.8,Asia,1
7,100.5,Asia,1
7.1,80,Asia,5
7.2,79.9,Asia,1
7.2,125.5,Asia,21
7.3,80.6,Asia,2
7.3,126.1,Asia,2
7.4,125.8,Asia,1
7.8,98.3,Asia,2
7.9,-1,Africa,13
7.9,80.8,Asia,106
7.9,98.3,Asia,3
8,79.8,Asia,2
8,98.3,Asia,24
8,124.7,Asia,1
8,125.3,Asia,2
8.2,77.4,Asia,1
8.2,123.8,Asia,1
8.2,124.2,Asia,1
8.4,77,Asia,1
8.4,123.3,Asia,1
8.5,76.9,Asia,1
8.5,77,Asia,2
8.5,123.3,Asia,3
8.5,123.8,Asia,1
8.5,124.6,Asia,15
8.6,0.8,Africa,3
8.7,76.7,Asia,3
8.7,77.8,Asia,2
9.1,126.2,Asia,2
9.2,124.7,Asia,2
9.3,123.3,Asia,2

9.5,78.6,Asia,1
9.5,100,Asia,4
9.7,118.7,Asia,3

9.8,106.3,Asia,2
9.8,126,Asia,18
9.8,126.2,Asia,1
9.9,76.5,Asia,1
9.9,78,Asia,3
9.9,78.1,Asia,1
10,76.3,Asia,8
10,118.8,Asia,12
10.1,124.3,Asia,1
10.2,76.2,Asia,1
10.2,76.4,Asia,2
10.2,123.8,Asia,1
10.3,123.8,Asia,5
10.3,123.9,Asia,44
10.4,123.9,Asia,2
10.5,76.2,Asia,1
10.5,99.2,Asia,1
10.6,123,Asia,3
10.6,123.9,Asia,6
10.7,106.7,Asia,2
10.8,106.6,Asia,23
10.9,76.1,Asia,1
10.9,76.3,Asia,2
10.9,123.3,Asia,1
11,77,Asia,4
11,122.5,Asia,1
11.1,77.3,Asia,16
11.1,78.7,Asia,2
11.2,119.5,Asia,3
11.2,123.7,Asia,6
11.3,75.8,Asia,1
11.3,106.5,Asia,1
11.3,124.5,Asia,1
11.3,125,Asia,2
11.4,77.6,Asia,2
11.4,79.8,Asia,1
11.5,104.9,Asia,5
12.1,75.2,Asia,2
12.3,76.7,Asia,3
12.3,121.9,Asia,1
12.5,75,Asia,2
12.5,75.1,Asia,1
12.6,105,Asia,7
12.7,78.6,Asia,2
12.7,101.1,Asia,1
12.9,74.9,Asia,8
12.9,77.5,Asia,1
12.9,77.6,Asia,5
12.9,80,Asia,2
12.9,80.1,Asia,1
12.9,124.1,Asia,2
13,74.9,Asia,2
13,77.6,Asia,98
13,77.7,Asia,6
13,79.9,Asia,1
13,80.2,Asia,12
13,99.9,Asia,1
13.1,77.6,Asia,1
13.1,80.2,Asia,1
13.1,80.3,Asia,43
13.1,123.7,Asia,1
13.2,77.7,Asia,1
13.3,121.9,Asia,1
13.3,123.6,Asia,2
13.4,101,Asia,2
13.6,123.2,Asia,1
13.6,123.3,Asia,1
13.7,100.5,Asia,8
13.7,100.8,Asia,6
13.8,100.4,Asia,10
13.8,100.5,Asia,53
13.8,100.6,Asia,13
13.8,100.7,Asia,8
13.8,121.1,Asia,2
13.9,121.6,Asia,2
13.9,121.9,Asia,1
14,100.8,Asia,1
14.1,108.3,Asia,39
14.1,121.1,Asia,1
14.1,121.5,Asia,2
14.1,123,Asia,1
14.2,100,Asia,1
14.2,120.9,Asia,2
14.2,121.1,Asia,11
14.3,120.9,Asia,2
14.3,121,Asia,4
14.3,121.1,Asia,1

14.4,120.8,Asia,1
14.4,121,Asia,20
14.5,121,Asia,25
14.5,121.1,Asia,7

14.6,120.6,Asia,8
14.6,121,Asia,358
14.6,121.1,Asia,36
14.7,78.6,Asia,2
14.7,101.4,Asia,1
14.7,121,Asia,45
14.7,121.1,Asia,13
14.7,121.2,Asia,1
14.8,100.7,Asia,1
14.8,120.3,Asia,6
14.8,121,Asia,6
14.8,121.2,Asia,1

15,102.1,Asia,1
15,103.1,Asia,1
15,120.7,Asia,1
15,120.9,Asia,1
15,121.2,Asia,2
15.1,105.8,Asia,283
15.1,120.1,Asia,2
15.1,120.6,Asia,5
15.3,74,Asia,1
15.3,74.1,Asia,21
15.3,75.7,Asia,1
15.3,76.5,Asia,2
15.4,75.1,Asia,1
15.4,120.5,Asia,1

15.7,73.7,Asia,1
15.7,121.6,Asia,2

15.9,79.7,Asia,2
15.9,101,Asia,54

16.1,108.2,Asia,1
16.1,120.5,Asia,2

16.4,73.8,Asia,1
16.4,102.8,Asia,3
16.4,120.6,Asia,6

16.5,75.3,Asia,1

16.6,120.3,Asia,1

16.7,74.2,Asia,18

16.8,94.7,Asia,1

16.9,96.2,Asia,1

17,54.1,Asia,1
17,121.7,Asia,1

17.1,42.4,Asia,1

17.2,78.4,Asia,1
17.3,76.8,Asia,1

17.4,78.4,Asia,1
17.4,78.5,Asia,35
17.4,102.8,Asia,1

17.6,44.2,Asia,1
17.6,120.4,Asia,3

17.7,83.2,Asia,9
17.7,83.3,Asia,1

17.8,73.2,Asia,1
17.8,76,Asia,6
17.8,121.4,Asia,1

17.9,77.5,Asia,2

18,79.6,Asia,2

18.2,120.7,Asia,1

18.4,76.6,Asia,2

18.5,73.9,Asia,18

18.6,73.8,Asia,5

18.7,99,Asia,1

18.8,73.4,Asia,1
18.8,73.5,Asia,9
18.8,99,Asia,15

18.9,84.6,Asia,1

19,72.8,Asia,5

19,72.9,Asia,1
19,73,Asia,1
19,73.1,Asia,1

19.1,72.8,Asia,4
19.1,72.9,Asia,146
19.1,73,Asia,6

19.2,72.8,Asia,4
19.2,73,Asia,2
19.2,73.1,Asia,1
19.2,77.3,Asia,1

19.4,41.8,Asia,1

19.5,82.3,Asia,2

19.8,75.7,Asia,7
19.8,85.8,Asia,1

19.9,75.3,Asia,1

20,72.7,Asia,1
20,78,Asia,1

20.2,84.4,Asia,3
20.2,86.3,Asia,1

20.3,85.2,Asia,1
20.3,85.8,Asia,156
20.3,85.9,Asia,1

20.5,85.9,Asia,2

20.6,79,Asia,179

20.7,85.6,Asia,2

20.8,105.9,Asia,1

20.9,85.1,Asia,2

21,85.1,Asia,7
21,105.8,Asia,3

21.1,72.9,Asia,1
21.1,79.1,Asia,7
21.1,86.6,Asia,3

21.2,72.8,Asia,4

21.3,39.2,Asia,10
21.3,81.6,Asia,4

21.4,39.9,Asia,4


21.5,39.2,Asia,2
21.5,56,Asia,5
21.5,70.5,Asia,6
21.5,84,Asia,1
21.6,39.1,Asia,1
21.6,39.2,Asia,3

