month,bidding_no,vehicle_class,premium
2020-03-02T11:00:00Z,221,NozzleTemp,221
2020-03-02T11:00:00Z,40,xPos,40
2020-03-02T12:00:00Z,221,NozzleTemp,221
2020-03-02T12:00:00Z,221,xPos,40
2014-03-02T13:00:00Z,221,NozzleTemp,221
2014-03-02T13:00:00Z,221,xPos,40
2015-03-02T14:00:00Z,0,NozzleTemp,0
2015-03-02T14:00:00Z,0,xPos,0
2020-03-02T15:00:00Z,0,NozzleTemp,0
2020-03-02T15:00:00Z,0,xPos,0
2020-03-02T16:00:00Z,0,NozzleTemp,0
2020-03-02T16:00:00Z,0,xPos,0
2020-03-02T17:00:00Z,0,NozzleTemp,0
2020-03-02T17:00:00Z,0,xPos,0
2020-03-02T18:00:00Z,0,NozzleTemp,0
2020-03-02T18:00:00Z,0,xPos,0
2020-03-02T19:00:00Z,0,NozzleTemp,0
2020-03-02T19:00:00Z,0,xPos,0
2020-03-02T20:00:00Z,0,NozzleTemp,0
2020-03-02T20:00:00Z,0,xPos,0
2020-03-02T21:00:00Z,0,NozzleTemp,0
2020-03-02T21:00:00Z,0,xPos,0
2020-03-02T22:00:00Z,0,NozzleTemp,0
2020-03-02T22:00:00Z,0,xPos,0
2020-03-02T23:00:00Z,0,NozzleTemp,0
2020-03-02T23:00:00Z,0,xPos,0
2020-03-03T00:00:00Z,0,NozzleTemp,0
2020-03-03T00:00:00Z,0,xPos,0
2019-03-03T01:00:00Z,0,NozzleTemp,0
2019-03-03T01:00:00Z,0,xPos,0
2020-03-03T02:00:00Z,0,NozzleTemp,0
2020-03-03T02:00:00Z,0,xPos,0
2020-03-03T03:00:00Z,0,NozzleTemp,0
2020-03-03T03:00:00Z,0,xPos,0
2020-03-03T04:00:00Z,0,NozzleTemp,0
2020-03-03T04:00:00Z,0,xPos,0
2020-03-03T05:00:00Z,221,NozzleTemp,221
2020-03-03T05:00:00Z,221,xPos,40
2020-03-03T06:00:00Z,221,NozzleTemp,221
2020-03-03T06:00:00Z,221,xPos,40
2020-03-03T07:00:00Z,221,NozzleTemp,221
2020-03-03T07:00:00Z,221,xPos,40
2020-03-03T08:00:00Z,221,NozzleTemp,221
2020-03-03T08:00:00Z,221,xPos,40
2020-03-03T09:00:00Z,221,NozzleTemp,221
2020-03-03T09:00:00Z,221,xPos,40
2020-03-03T10:00:00Z,221,NozzleTemp,221
2020-03-03T10:00:00Z,221,xPos,40
2020-03-03T11:00:00Z,221,NozzleTemp,221
2020-03-03T11:00:00Z,221,xPos,40
